Test,# Records,,# Goods,,# Bads,,Fraud Rate,,,,,
,250041,,246480,,3561,,0.01422,,,,,
,Bin Statistics,,,,,Cumulative Statistics,,,,,,
Population Bin %,# Records,# Goods,# Bads,% Goods,% Bads,Total # Records,Cumulative Goods,Cumulative Bads,% Goods,% Bads (FDR),KS,FPR
1,2501,723,1778,28.90843663,71.09156337,2501,723,1778,0.293388413,49.08890116,48.79551275,0.40663667
2,2500,2454,46,98.16,1.84,5001,3177,1824,1.289204686,50.35891773,49.06971304,1.741776316
3,2501,2453,48,98.08076769,1.919232307,7502,5630,1872,2.284615166,51.6841524,49.39953724,3.007478632
4,2500,2483,17,99.32,0.68,10002,8113,1889,3.292199439,52.15350635,48.86130691,4.294865008
5,2501,2487,14,99.44022391,0.55977609,12503,10600,1903,4.301406885,52.54003313,48.23862625,5.570152391
6,2500,2479,21,99.16,0.84,15003,13079,1924,5.307367985,53.1198233,47.81245532,6.797817048
7,2501,2480,21,99.16033587,0.839664134,17504,15559,1945,6.313734879,53.69961347,47.38587859,7.999485861
8,2500,2483,17,99.32,0.68,20004,18042,1962,7.321319152,54.16896742,46.84764827,9.195718654
9,2501,2484,17,99.32027189,0.679728109,22505,20526,1979,8.329309218,54.63832137,46.30901215,10.371905
10,2500,2481,19,99.24,0.76,25005,23007,1998,9.336081905,55.16289343,45.82681152,11.51501502
11,2501,2487,14,99.44022391,0.55977609,27506,25494,2012,10.34528935,55.54942021,45.20413086,12.67097416
12,2500,2484,16,99.36,0.64,30006,27978,2028,11.35327942,55.9911651,44.63788569,13.79585799
13,2501,2481,20,99.20031987,0.799680128,32507,30459,2048,12.3600521,56.54334622,44.18329411,14.87255859
14,2500,2485,15,99.4,0.6,35007,32944,2063,13.36844796,56.95748205,43.58903409,15.96897722
15,2501,2479,22,99.12035186,0.879648141,37508,35423,2085,14.37440906,57.56488128,43.19047222,16.98944844
16,2500,2479,21,99.16,0.84,40008,37902,2106,15.38037016,58.14467145,42.76430129,17.997151
17,2501,2487,14,99.44022391,0.55977609,42509,40389,2120,16.38957761,58.53119823,42.14162062,19.05141509
18,2501,2486,15,99.4002399,0.599760096,45010,42875,2135,17.39837926,58.94533407,41.54695481,20.08196721
19,2500,2479,21,99.16,0.84,47510,45354,2156,18.40434036,59.52512424,41.12078388,21.03617811
20,5835,5794,41,99.29734362,0.702656384,116691,111547,5144,19.3971506,61.3476446,41.950494,21.68487558
21,5834,5795,39,99.33150497,0.668495029,122525,117342,5183,20.40485577,61.81276088,41.40790512,22.63978391
22,1664,1649,15,99.09855769,0.901442308,36628,35209,1419,21.45490442,59.47191953,38.01701511,24.81254405
23,1665,1656,9,99.45945946,0.540540541,38293,36865,1428,22.46400214,59.84911987,37.38511772,25.81582633
24,1665,1649,16,99.03903904,0.960960961,39958,38514,1444,23.46883436,60.51969824,37.05086388,26.67174515
25,1665,1658,7,99.57957958,0.42042042,41623,40172,1451,24.4791508,60.81307628,36.33392548,27.68573398
26,1665,1654,11,99.33933934,0.660660661,43288,41826,1462,25.4870298,61.27409891,35.78706911,28.60875513
27,1665,1650,15,99.0990991,0.900900901,44953,43476,1477,26.49247138,61.90276614,35.41029476,29.43534191
28,1665,1655,10,99.3993994,0.600600601,46618,45131,1487,27.50095974,62.32187762,34.82091788,30.35036987
29,1665,1652,13,99.21921922,0.780780781,48283,46783,1500,28.50762003,62.86672255,34.35910252,31.18866667
30,1665,1658,7,99.57957958,0.42042042,49948,48441,1507,29.51793647,63.16010059,33.64216412,32.14399469
31,1665,1649,16,99.03903904,0.960960961,51613,50090,1523,30.52276868,63.83067896,33.30791028,32.8890348
32,1665,1648,17,98.97897898,1.021021021,53278,51738,1540,31.52699154,64.54316848,33.01617695,33.5961039
33,1665,1656,9,99.45945946,0.540540541,54943,53394,1549,32.53608926,64.92036882,32.38427956,34.46998063
34,1665,1657,8,99.51951952,0.48048048,56608,55051,1557,33.54579634,65.25565801,31.70986166,35.35709698
35,1665,1643,22,98.67867868,1.321321321,58273,56694,1579,34.5469724,66.17770327,31.63073087,35.90500317
36,1664,1653,11,99.33894231,0.661057692,59937,58347,1590,35.55424205,66.6387259,31.08448385,36.69622642
37,1665,1651,14,99.15915916,0.840840841,61602,59998,1604,36.56029298,67.22548198,30.665189,37.40523691
38,1665,1661,4,99.75975976,0.24024024,63267,61659,1608,37.5724375,67.39312657,29.82068908,38.34514925
39,1665,1652,13,99.21921922,0.780780781,64932,63311,1621,38.57909778,67.9379715,29.35887372,39.05675509
40,1665,1650,15,99.0990991,0.900900901,66597,64961,1636,39.58453936,68.56663873,28.98209937,39.70721271
41,1665,1648,17,98.97897898,1.021021021,68262,66609,1653,40.58876221,69.27912825,28.69036604,40.29582577
42,1665,1650,15,99.0990991,0.900900901,69927,68259,1668,41.59420378,69.90779547,28.31359169,40.92266187
43,1665,1655,10,99.3993994,0.600600601,71592,69914,1678,42.60269215,70.32690696,27.72421481,41.66507747
44,1665,1653,12,99.27927928,0.720720721,73257,71567,1690,43.60996179,70.82984074,27.21987894,42.34733728
45,1665,1657,8,99.51951952,0.48048048,74922,73224,1698,44.61966887,71.16512992,26.54546105,43.12367491
46,1665,1656,9,99.45945946,0.540540541,76587,74880,1707,45.6287666,71.54233026,25.91356366,43.86643234
47,1665,1653,12,99.27927928,0.720720721,78252,76533,1719,46.63603624,72.04526404,25.4092278,44.52181501
48,1665,1654,11,99.33933934,0.660660661,79917,78187,1730,47.64391525,72.50628667,24.86237142,45.19479769
49,1665,1656,9,99.45945946,0.540540541,81582,79843,1739,48.65301297,72.88348701,24.23047403,45.91316849
50,1664,1653,11,99.33894231,0.661057692,83246,81496,1750,49.66028262,73.34450964,23.68422702,46.56914286
51,1665,1653,12,99.27927928,0.720720721,84911,83149,1762,50.66755227,73.84744342,23.17989115,47.19012486
52,1665,1655,10,99.3993994,0.600600601,86576,84804,1772,51.67604063,74.2665549,22.59051427,47.85778781
53,1665,1651,14,99.15915916,0.840840841,88241,86455,1786,52.68209156,74.85331098,22.17121942,48.40705487
54,1665,1649,16,99.03903904,0.960960961,89906,88104,1802,53.68692378,75.52388935,21.83696558,48.89234184
55,1665,1649,16,99.03903904,0.960960961,91571,89753,1818,54.69175599,76.19446773,21.50271174,49.36908691
56,1665,1654,11,99.33933934,0.660660661,93236,91407,1829,55.69963499,76.65549036,20.95585537,49.97648989
57,1665,1655,10,99.3993994,0.600600601,94901,93062,1839,56.70812336,77.07460184,20.36647849,50.60467645
58,1665,1654,11,99.33933934,0.660660661,96566,94716,1850,57.71600236,77.53562448,19.81962211,51.19783784
59,1665,1656,9,99.45945946,0.540540541,98231,96372,1859,58.72510009,77.91282481,19.18772472,51.84077461
60,1665,1656,9,99.45945946,0.540540541,99896,98028,1868,59.73419781,78.29002515,18.55582734,52.47751606
61,1665,1652,13,99.21921922,0.780780781,101561,99680,1881,60.7408581,78.83487008,18.09401198,52.99308878
62,1665,1651,14,99.15915916,0.840840841,103226,101331,1895,61.74690903,79.42162615,17.67471712,53.47282322
63,1665,1649,16,99.03903904,0.960960961,104891,102980,1911,62.75174124,80.09220453,17.34046328,53.88801675
64,1665,1651,14,99.15915916,0.840840841,106556,104631,1925,63.75779217,80.6789606,16.92116843,54.35376623
65,1664,1650,14,99.15865385,0.841346154,108220,106281,1939,64.76323374,81.26571668,16.50248294,54.81227437
66,1665,1647,18,98.91891892,1.081081081,109885,107928,1957,65.76684724,82.02011735,16.25327011,55.14971896
67,1665,1651,14,99.15915916,0.840840841,111550,109579,1971,66.77289817,82.60687343,15.83397526,55.59563673
68,1665,1654,11,99.33933934,0.660660661,113215,111233,1982,67.78077718,83.06789606,15.28711888,56.12159435
69,1665,1648,17,98.97897898,1.021021021,114880,112881,1999,68.78500003,83.78038558,14.99538555,56.46873437
70,1665,1653,12,99.27927928,0.720720721,116545,114534,2011,69.79226968,84.28331936,14.49104969,56.95375435
71,1665,1658,7,99.57957958,0.42042042,118210,116192,2018,70.80258612,84.5766974,13.77411128,57.5777998
72,1665,1653,12,99.27927928,0.720720721,119875,117845,2030,71.80985576,85.07963118,13.26977542,58.05172414
73,1665,1653,12,99.27927928,0.720720721,121540,119498,2042,72.81712541,85.58256496,12.76543955,58.52007835
74,1665,1652,13,99.21921922,0.780780781,123205,121150,2055,73.8237857,86.12740989,12.30362419,58.95377129
75,1665,1650,15,99.0990991,0.900900901,124870,122800,2070,74.82922727,86.75607712,11.92684984,59.3236715
76,1665,1649,16,99.03903904,0.960960961,126535,124449,2086,75.83405949,87.42665549,11.592596,59.65915628
77,1665,1653,12,99.27927928,0.720720721,128200,126102,2098,76.84132913,87.92958927,11.08826014,60.10581506
78,1665,1654,11,99.33933934,0.660660661,129865,127756,2109,77.84920814,88.3906119,10.54140376,60.57657658
79,1664,1654,10,99.39903846,0.600961538,131529,129410,2119,78.85708714,88.80972339,9.952636242,61.07126003
80,1665,1648,17,98.97897898,1.021021021,133194,131058,2136,79.86131,89.52221291,9.66090291,61.35674157
81,1665,1650,15,99.0990991,0.900900901,134859,132708,2151,80.86675157,90.15088013,9.284128563,61.69595537
82,1665,1640,25,98.4984985,1.501501502,136524,134348,2176,81.86609956,91.19865884,9.332559286,61.74080882
83,1665,1652,13,99.21921922,0.780780781,138189,136000,2189,82.87275985,91.74350377,8.870743926,62.12882595
84,1665,1655,10,99.3993994,0.600600601,139854,137655,2199,83.88124821,92.16261526,8.281367046,62.59890859
85,1665,1653,12,99.27927928,0.720720721,141519,139308,2211,84.88851786,92.66554904,7.777031179,63.00678426
86,1665,1650,15,99.0990991,0.900900901,143184,140958,2226,85.89395943,93.29421626,7.400256833,63.32345013
87,1665,1658,7,99.57957958,0.42042042,144849,142616,2233,86.90427587,93.5875943,6.683318431,63.8674429
88,1665,1656,9,99.45945946,0.540540541,146514,144272,2242,87.91337359,93.96479464,6.051421044,64.34968778
89,1665,1659,6,99.63963964,0.36036036,148179,145931,2248,88.92429939,94.21626153,5.291962136,64.91592527
90,1665,1656,9,99.45945946,0.540540541,149844,147587,2257,89.93339711,94.59346186,4.660064748,65.39078423
91,1665,1653,12,99.27927928,0.720720721,151509,149240,2269,90.94066676,95.09639564,4.155728881,65.77346849
92,1665,1651,14,99.15915916,0.840840841,153174,150891,2283,91.94671769,95.68315172,3.736434028,66.09329829
93,1664,1645,19,98.85817308,1.141826923,154838,152536,2302,92.94911247,96.47946354,3.530351068,66.26238054
94,1665,1650,15,99.0990991,0.900900901,156503,154186,2317,93.95455404,97.10813076,3.153576722,66.54553302
95,1665,1657,8,99.51951952,0.48048048,158168,155843,2325,94.96426112,97.44341995,2.479158827,67.02924731
96,1665,1652,13,99.21921922,0.780780781,159833,157495,2338,95.97092141,97.98826488,2.017343467,67.36313088
97,1665,1652,13,99.21921922,0.780780781,161498,159147,2351,96.9775817,98.53310981,1.555528107,67.69332199
98,1665,1656,9,99.45945946,0.540540541,163163,160803,2360,97.98667942,98.91031014,0.92363072,68.13686441
99,1665,1653,12,99.27927928,0.720720721,164828,162456,2372,98.99394907,99.41324392,0.419294853,68.48903879
100,1665,1651,14,99.15915916,0.840840841,166493,164107,2386,100,100,0,68.77912825
